season,team_id,franchise_id,historical_team_name,city,nickname,active
2000,DET,LIONS,Detroit Lions,Detroit,Lions,TRUE
2000,GB,PACKERS,Green Bay Packers,Green Bay,Packers,TRUE
2000,IND,COLTS,Indianapolis Colts,Indianapolis,Colts,TRUE
2000,JAX,JAGUARS,Jacksonville Jaguars,Jacksonville,Jaguars,TRUE
2000,KC,CHIEFS,Kansas City Chiefs,Kansas City,Chiefs,TRUE
2000,LA,RAMS,St. Louis Rams,St. Louis,Rams,TRUE
2000,LAC,CHARGERS,San Diego Chargers,San Diego,Chargers,TRUE
2000,LV,RAIDERS,Oakland Raiders,Oakland,Raiders,TRUE
2000,MIA,DOLPHINS,Miami Dolphins,Miami,Dolphins,TRUE
2000,MIN,VIKINGS,Minnesota Vikings,Minnesota,Vikings,TRUE
2000,NE,PATRIOTS,New England Patriots,New England,Patriots,TRUE
2000,NO,SAINTS,New Orleans Saints,New Orleans,Saints,TRUE
2000,NYG,GIANTS,New York Giants,New York,Giants,TRUE
2000,NYJ,JETS,New York Jets,New York,Jets,TRUE
2000,PHI,EAGLES,Philadelphia Eagles,Philadelphia,Eagles,TRUE
2000,PIT,STEELERS,Pittsburgh Steelers,Pittsburgh,Steelers,TRUE
2000,SEA,SEAHAWKS,Seattle Seahawks,Seattle,Seahawks,TRUE
2000,SF,49ERS,San Francisco 49ers,San Francisco,49ers,TRUE
2000,TB,BUCCANEERS,Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TRUE
2000,TEN,TITANS,Tennessee Titans,Tennessee,Titans,TRUE
2000,WAS,WASHINGTON,Washington Redskins,Washington,Redskins,TRUE
2001,ARI,CARDINALS,Arizona Cardinals,Arizona,Cardinals,TRUE
2001,ATL,FALCONS,Atlanta Falcons,Atlanta,Falcons,TRUE
2001,BAL,RAVENS,Baltimore Ravens,Baltimore,Ravens,TRUE
2001,BUF,BILLS,Buffalo Bills,Buffalo,Bills,TRUE
2001,CAR,PANTHERS,Carolina Panthers,Carolina,Panthers,TRUE
2001,CHI,BEARS,Chicago Bears,Chicago,Bears,TRUE
2001,CIN,BENGALS,Cincinnati Bengals,Cincinnati,Bengals,TRUE
2001,CLE,BROWNS,Cleveland Browns,Cleveland,Browns,TRUE
2001,DAL,COWBOYS,Dallas Cowboys,Dallas,Cowboys,TRUE
2001,DEN,BRONCOS,Denver Broncos,Denver,Broncos,TRUE
2001,DET,LIONS,Detroit Lions,Detroit,Lions,TRUE
2001,GB,PACKERS,Green Bay Packers,Green Bay,Packers,TRUE
2001,IND,COLTS,Indianapolis Colts,Indianapolis,Colts,TRUE
2001,JAX,JAGUARS,Jacksonville Jaguars,Jacksonville,Jaguars,TRUE
2001,KC,CHIEFS,Kansas City Chiefs,Kansas City,Chiefs,TRUE
2001,LA,RAMS,St. Louis Rams,St. Louis,Rams,TRUE
2001,LAC,CHARGERS,San Diego Chargers,San Diego,Chargers,TRUE
2001,LV,RAIDERS,Oakland Raiders,Oakland,Raiders,TRUE
2001,MIA,DOLPHINS,Miami Dolphins,Miami,Dolphins,TRUE
2001,MIN,VIKINGS,Minnesota Vikings,Minnesota,Vikings,TRUE
2001,NE,PATRIOTS,New England Patriots,New England,Patriots,TRUE
2001,NO,SAINTS,New Orleans Saints,New Orleans,Saints,TRUE
2001,NYG,GIANTS,New York Giants,New York,Giants,TRUE
2001,NYJ,JETS,New York Jets,New York,Jets,TRUE
2001,PHI,EAGLES,Philadelphia Eagles,Philadelphia,Eagles,TRUE
2001,PIT,STEELERS,Pittsburgh Steelers,Pittsburgh,Steelers,TRUE
2001,SEA,SEAHAWKS,Seattle Seahawks,Seattle,Seahawks,TRUE
2001,SF,49ERS,San Francisco 49ers,San Francisco,49ers,TRUE
2001,TB,BUCCANEERS,Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TRUE
2001,TEN,TITANS,Tennessee Titans,Tennessee,Titans,TRUE
2001,WAS,WASHINGTON,Washington Redskins,Washington,Redskins,TRUE
2002,ARI,CARDINALS,Arizona Cardinals,Arizona,Cardinals,TRUE
2002,ATL,FALCONS,Atlanta Falcons,Atlanta,Falcons,TRUE
2002,BAL,RAVENS,Baltimore Ravens,Baltimore,Ravens,TRUE
2002,BUF,BILLS,Buffalo Bills,Buffalo,Bills,TRUE
2002,CAR,PANTHERS,Carolina Panthers,Carolina,Panthers,TRUE
2002,CHI,BEARS,Chicago Bears,Chicago,Bears,TRUE
2002,CIN,BENGALS,Cincinnati Bengals,Cincinnati,Bengals,TRUE
2002,CLE,BROWNS,Cleveland Browns,Cleveland,Browns,TRUE
2002,DAL,COWBOYS,Dallas Cowboys,Dallas,Cowboys,TRUE
2002,DEN,BRONCOS,Denver Broncos,Denver,Broncos,TRUE
2002,DET,LIONS,Detroit Lions,Detroit,Lions,TRUE
2002,GB,PACKERS,Green Bay Packers,Green Bay,Packers,TRUE
2002,HOU,TEXANS,Houston Texans,Houston,Texans,TRUE
2002,IND,COLTS,Indianapolis Colts,Indianapolis,Colts,TRUE
2002,JAX,JAGUARS,Jacksonville Jaguars,Jacksonville,Jaguars,TRUE
2002,KC,CHIEFS,Kansas City Chiefs,Kansas City,Chiefs,TRUE
2002,LA,RAMS,St. Louis Rams,St. Louis,Rams,TRUE
2002,LAC,CHARGERS,San Diego Chargers,San Diego,Chargers,TRUE
2002,LV,RAIDERS,Oakland Raiders,Oakland,Raiders,TRUE
2002,MIA,DOLPHINS,Miami Dolphins,Miami,Dolphins,TRUE
2002,MIN,VIKINGS,Minnesota Vikings,Minnesota,Vikings,TRUE
2002,NE,PATRIOTS,New England Patriots,New England,Patriots,TRUE
2002,NO,SAINTS,New Orleans Saints,New Orleans,Saints,TRUE
2002,NYG,GIANTS,New York Giants,New York,Giants,TRUE
2002,NYJ,JETS,New York Jets,New York,Jets,TRUE
2002,PHI,EAGLES,Philadelphia Eagles,Philadelphia,Eagles,TRUE
2002,PIT,STEELERS,Pittsburgh Steelers,Pittsburgh,Steelers,TRUE
2002,SEA,SEAHAWKS,Seattle Seahawks,Seattle,Seahawks,TRUE
2002,SF,49ERS,San Francisco 49ers,San Francisco,49ers,TRUE
2002,TB,BUCCANEERS,Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TRUE
2002,TEN,TITANS,Tennessee Titans,Tennessee,Titans,TRUE
2002,WAS,WASHINGTON,Washington Redskins,Washington,Redskins,TRUE
2003,ARI,CARDINALS,Arizona Cardinals,Arizona,Cardinals,TRUE
2003,ATL,FALCONS,Atlanta Falcons,Atlanta,Falcons,TRUE
2003,BAL,RAVENS,Baltimore Ravens,Baltimore,Ravens,TRUE
2003,BUF,BILLS,Buffalo Bills,Buffalo,Bills,TRUE
2003,CAR,PANTHERS,Carolina Panthers,Carolina,Panthers,TRUE
2003,CHI,BEARS,Chicago Bears,Chicago,Bears,TRUE
2003,CIN,BENGALS,Cincinnati Bengals,Cincinnati,Bengals,TRUE
2003,CLE,BROWNS,Cleveland Browns,Cleveland,Browns,TRUE
2003,DAL,COWBOYS,Dallas Cowboys,Dallas,Cowboys,TRUE
2003,DEN,BRONCOS,Denver Broncos,Denver,Broncos,TRUE
2003,DET,LIONS,Detroit Lions,Detroit,Lions,TRUE
2003,GB,PACKERS,Green Bay Packers,Green Bay,Packers,TRUE
2003,HOU,TEXANS,Houston Texans,Houston,Texans,TRUE
2003,IND,COLTS,Indianapolis Colts,Indianapolis,Colts,TRUE
2003,JAX,JAGUARS,Jacksonville Jaguars,Jacksonville,Jaguars,TRUE
2003,KC,CHIEFS,Kansas City Chiefs,Kansas City,Chiefs,TRUE
2003,LA,RAMS,St. Louis Rams,St. Louis,Rams,TRUE
2003,LAC,CHARGERS,San Diego Chargers,San Diego,Chargers,TRUE
2003,LV,RAIDERS,Oakland Raiders,Oakland,Raiders,TRUE
2003,MIA,DOLPHINS,Miami Dolphins,Miami,Dolphins,TRUE
2003,MIN,VIKINGS,Minnesota Vikings,Minnesota,Vikings,TRUE
2003,NE,PATRIOTS,New England Patriots,New England,Patriots,TRUE
2003,NO,SAINTS,New Orleans Saints,New Orleans,Saints,TRUE
2003,NYG,GIANTS,New York Giants,New York,Giants,TRUE
2003,NYJ,JETS,New York Jets,New York,Jets,TRUE
2003,PHI,EAGLES,Philadelphia Eagles,Philadelphia,Eagles,TRUE
2003,PIT,STEELERS,Pittsburgh Steelers,Pittsburgh,Steelers,TRUE
2003,SEA,SEAHAWKS,Seattle Seahawks,Seattle,Seahawks,TRUE
2003,SF,49ERS,San Francisco 49ers,San Francisco,49ers,TRUE
2003,TB,BUCCANEERS,Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TRUE
2003,TEN,TITANS,Tennessee Titans,Tennessee,Titans,TRUE
2003,WAS,WASHINGTON,Washington Redskins,Washington,Redskins,TRUE
2004,ARI,CARDINALS,Arizona Cardinals,Arizona,Cardinals,TRUE
2004,ATL,FALCONS,Atlanta Falcons,Atlanta,Falcons,TRUE
2004,BAL,RAVENS,Baltimore Ravens,Baltimore,Ravens,TRUE
2004,BUF,BILLS,Buffalo Bills,Buffalo,Bills,TRUE
2004,CAR,PANTHERS,Carolina Panthers,Carolina,Panthers,TRUE
2004,CHI,BEARS,Chicago Bears,Chicago,Bears,TRUE
2004,CIN,BENGALS,Cincinnati Bengals,Cincinnati,Bengals,TRUE
2004,CLE,BROWNS,Cleveland Browns,Cleveland,Browns,TRUE
2004,DAL,COWBOYS,Dallas Cowboys,Dallas,Cowboys,TRUE
2004,DEN,BRONCOS,Denver Broncos,Denver,Broncos,TRUE
2004,DET,LIONS,Detroit Lions,Detroit,Lions,TRUE
2004,GB,PACKERS,Green Bay Packers,Green Bay,Packers,TRUE
2004,HOU,TEXANS,Houston Texans,Houston,Texans,TRUE
2004,IND,COLTS,Indianapolis Colts,Indianapolis,Colts,TRUE
2004,JAX,JAGUARS,Jacksonville Jaguars,Jacksonville,Jaguars,TRUE
2004,KC,CHIEFS,Kansas City Chiefs,Kansas City,Chiefs,TRUE
2004,LA,RAMS,St. Louis Rams,St. Louis,Rams,TRUE
2004,LAC,CHARGERS,San Diego Chargers,San Diego,Chargers,TRUE
2004,LV,RAIDERS,Oakland Raiders,Oakland,Raiders,TRUE
2004,MIA,DOLPHINS,Miami Dolphins,Miami,Dolphins,TRUE
2004,MIN,VIKINGS,Minnesota Vikings,Minnesota,Vikings,TRUE
2004,NE,PATRIOTS,New England Patriots,New England,Patriots,TRUE
